order_item_id,order_id,product_id,quantity,unit_price,line_total,item_status,ship_date,delivered_date,canceled_date,date_created,date_updated
1,1,5541,5,11.13,55.65,Shipped,"2026-01-16 00:00:00",NULL,NULL,"2026-01-15 00:00:00","2026-04-16 11:56:29"
2,1,3971,3,2.89,8.67,Delivered,"2026-01-18 00:00:00","2026-01-19 00:00:00",NULL,"2026-01-15 00:00:00","2026-04-16 11:56:29"
3,1,7952,2,4.39,8.78,Canceled,NULL,NULL,"2026-01-15 00:00:00","2026-01-15 00:00:00","2026-04-17 10:29:05"
4,1,5765,4,10.33,41.32,Delivered,"2026-01-16 00:00:00","2026-01-19 00:00:00",NULL,"2026-01-15 00:00:00","2026-04-16 11:56:29"
5,1,1844,3,33.46,100.38,Shipped,"2026-01-17 00:00:00",NULL,NULL,"2026-01-15 00:00:00","2026-04-16 11:56:29"
6,2,5197,2,24.30,48.60,Delivered,"2025-01-31 00:00:00","2025-02-03 00:00:00",NULL,"2025-01-28 00:00:00","2026-04-16 11:56:29"
7,2,5830,5,1.79,8.95,Shipped,"2025-01-31 00:00:00",NULL,NULL,"2025-01-28 00:00:00","2026-04-16 11:56:29"
8,2,6800,5,8.42,42.10,Delivered,"2025-01-30 00:00:00","2025-01-31 00:00:00",NULL,"2025-01-28 00:00:00","2026-04-16 11:56:29"
9,2,488,1,5.85,5.85,Delivered,"2025-01-31 00:00:00","2025-02-01 00:00:00",NULL,"2025-01-28 00:00:00","2026-04-16 11:56:29"
10,2,2375,2,21.12,42.24,Delivered,"2025-01-30 00:00:00","2025-02-03 00:00:00",NULL,"2025-01-28 00:00:00","2026-04-16 11:56:29"
11,2,1664,3,15.58,46.74,Delivered,"2025-01-30 00:00:00","2025-02-03 00:00:00",NULL,"2025-01-28 00:00:00","2026-04-16 11:56:29"
12,2,4135,5,9.09,45.45,Delivered,"2025-01-30 00:00:00","2025-02-01 00:00:00",NULL,"2025-01-28 00:00:00","2026-04-16 11:56:29"
13,3,6112,2,12.82,25.64,Delivered,"2026-02-20 00:00:00","2026-02-21 00:00:00",NULL,"2026-02-18 00:00:00","2026-04-16 11:56:29"
14,3,2072,2,27.76,55.52,Delivered,"2026-02-21 00:00:00","2026-02-24 00:00:00",NULL,"2026-02-18 00:00:00","2026-04-16 11:56:29"
