order_id,customer_id,order_date,total_amount,delivery_cost,date_created,date_updated
1,238,"2026-01-15 00:00:00",214.80,0.00,"2026-01-15 00:00:00","2026-04-16 11:56:29"
2,119,"2025-01-28 00:00:00",239.93,0.00,"2025-01-28 00:00:00","2026-04-16 11:56:29"
3,156,"2026-02-18 00:00:00",140.46,0.00,"2026-02-18 00:00:00","2026-04-16 11:56:29"
4,256,"2024-03-02 00:00:00",36.32,10.00,"2024-03-02 00:00:00","2026-04-16 11:56:29"
5,89,"2024-10-29 00:00:00",201.70,0.00,"2024-10-29 00:00:00","2026-04-16 11:56:29"
6,194,"2025-03-12 00:00:00",132.53,0.00,"2025-03-12 00:00:00","2026-04-16 11:56:29"
7,97,"2025-03-25 00:00:00",29.04,10.00,"2025-03-25 00:00:00","2026-04-16 11:56:29"
8,206,"2025-05-28 00:00:00",105.05,0.00,"2025-05-28 00:00:00","2026-04-16 11:56:29"
9,172,"2024-06-05 00:00:00",7.40,25.00,"2024-06-05 00:00:00","2026-04-16 11:56:29"
10,290,"2022-07-11 00:00:00",38.95,10.00,"2022-07-11 00:00:00","2026-04-16 11:56:29"
11,22,"2023-08-24 00:00:00",171.84,0.00,"2023-08-24 00:00:00","2026-04-16 11:56:29"
12,98,"2025-04-27 00:00:00",154.27,0.00,"2025-04-27 00:00:00","2026-04-16 11:56:29"
13,221,"2024-06-17 00:00:00",212.70,0.00,"2024-06-17 00:00:00","2026-04-16 11:56:29"
14,61,"2023-11-26 00:00:00",245.90,0.00,"2023-11-26 00:00:00","2026-04-16 11:56:29"
15,286,"2023-10-12 00:00:00",74.89,5.00,"2023-10-12 00:00:00","2026-04-16 11:56:29"
16,117,"2023-08-13 00:00:00",139.73,0.00,"2023-08-13 00:00:00","2026-04-16 11:56:29"
17,19,"2026-01-24 00:00:00",105.37,0.00,"2026-01-24 00:00:00","2026-04-16 11:56:29"
18,16,"2026-04-11 00:00:00",86.71,0.00,"2026-04-11 00:00:00","2026-04-16 11:56:29"
19,161,"2026-01-01 00:00:00",181.48,0.00,"2026-01-01 00:00:00","2026-04-16 11:56:29"
