subcategory_id,category_id,name,description
1,1,Dairy,"Cheese, milk, yogurt, butter, eggs"
2,1,"Baked Goods","Pastries, bread, cakes"
3,1,Snacks,"Chips, cookies, crackers, candy, nuts, salsa and dips"
4,1,Produce,"Fruits and vegetables"
5,1,Meat,"Meat products"
6,1,"Breakfast and Cereal","Cereal, granola, energy bars"
7,1,Pantry,"Canned goods, Dry goods, grains, spices, baking essentials"
8,1,Soda,"Carbonated drink"
9,1,Juice,"Juice, punch, juice powder"
10,1,Coffee,"Coffee products"
11,1,Tea,"Tea products"
12,1,Water,"Bottled water"
13,2,"Hair Care","Shampoos, conditioners, hair treatments, hair dye, styling tools"
14,2,"Bath and Body","Soap, lotion, hand sanitizers"
15,2,"Skin Care","Face moisturizers, face wash, face treatments, sun care"
16,2,"Oral Care","Toothpaste, mouthwash, denture care"
17,2,Deodorant,Deodorant
18,3,"Cleaning Supplies","Dish detergen, cleaning wipes, cleaning tools, bathroom cleaners, glass cleaners"
19,3,Laundry,"Laundry detergent, fabric softeners, bleach, stain removers"
20,3,"Paper Products","Toilet paper, paper towels, facial tissues, napkins"
21,3,"Trash Bags","Trash bags"
22,3,"Food Storages and Wraps","Food storage containers, wrap and foil, food storage bags"
23,3,"Disposable Tableware","Cups, plates and bowls, plastic cutlery"
24,3,"Air Fresheners","Air Fresheners"
25,4,"Vitamins and Supplements","Vitamins, multi-vitamins, minerals"
26,4,"Allergy and Sinus","Allergy and Sinus"
27,4,"Cold and Flu","Cold and Flu, cough, throat relief, lip balm"
28,4,"Pain Relief","Asprin, pain and fever reducers"
29,4,"First Aid","Bandages, antiseptics, wound care, first aid kits"
30,5,Dogs,"Food, treats, toys"
31,5,Cats,"Food, treats, litter, toys"
32,5,Birds,"Food, toys"
33,5,Fish,Food
34,6,"Food and Formula","Food, formula, snacks, cereal"
35,6,Beverages,Beverages
36,6,"Diapers and Wipes","Diapers, wipes"
37,6,"Bottles and Cups","Bottles, cups, tableware"
38,6,Toys,Toys
39,6,"Bathing and Skin Care","Creams, ointments, shampoo, soap, lotion"
40,6,"Health & Wellnes","Laundry, medicine, pacifiers, oral care"
