"product_id","subcategory_id","name","brand","sku","unit_size","price","stock_quantity","is_active","date_created","date_inactive","date_updated"
"1","32","BrightNest Aviary Bird Treats","BrightNest Aviary","OBMJ5PVX1S74","4 oz","13.24","116","1","2022-05-12 00:00:00",\N,"2026-04-13 22:02:07"
"2","22","Tmart Snack Bags","Tmart","6I88E16H1Y7L","100 ct","12.81","84","1","2021-08-13 00:00:00",\N,"2026-04-13 22:02:07"
"3","15","Solenne Naturals Face Serum","Solenne Naturals","4NRX2YYX6BQB","1 oz","13.03","154","1","2022-02-01 00:00:00",\N,"2026-04-13 22:02:07"
"4","8","Lunafresh Vanilla Cream Soda","Lunafresh","VRM9I6YOINV0","12 oz","7.96","251","1","2019-04-23 00:00:00",\N,"2026-04-13 22:02:07"
"5","23","SunVale Home Paper Bowls","SunVale Home","418OHW7H316K","25 ct","13.09","68","1","2026-01-26 00:00:00",\N,"2026-04-13 22:02:07"
"6","31","NaturaPress Paws Flea and Tick Drops","NaturaPress Paws","ALL7TZAAK0UT","3 ct","8.58","46","1","2024-02-02 00:00:00",\N,"2026-04-13 22:02:07"
"7","38","Lunafresh Baby Activity Gyms","Lunafresh Baby","M601WLXF1K03","1 ct","25.66","24","1","2023-04-23 00:00:00",\N,"2026-04-13 22:02:07"
"8","6","VitaVerde Honey","VitaVerde","7R3ZI6RKQTC0","16 oz","9.56","300","1","2025-05-13 00:00:00",\N,"2026-04-13 22:02:07"
"9","37","Lunafresh Baby Wide-Neck Bottles","Lunafresh Baby","C6JPW1ADLUJ6","8 oz","19.58","297","1","2023-04-07 00:00:00",\N,"2026-04-13 22:02:07"
"10","30","Auralift Pets Leashes","Auralift Pets","WPZ4SKSZLGAF","6 ft","22.13","297","1","2021-04-24 00:00:00",\N,"2026-04-13 22:02:07"
"11","35","BrightNest Baby Diluted Fruit Juice","BrightNest Baby","6B586C911O5Z","32 oz","27.56","27","1","2025-03-15 00:00:00",\N,"2026-04-13 22:02:07"
"12","21","EverClean Large Trash Bags","EverClean","T448NEQUHD1Z","20 ct","7.16","105","1","2021-02-04 00:00:00",\N,"2026-04-13 22:02:07"
"13","18","Tmart All Purpose Cleaner","Tmart","JD73VK93BZ66","56 oz","5.26","214","1","2025-08-30 00:00:00",\N,"2026-04-13 22:02:07"
"14","4","PureHarvest Bell Peppers","PureHarvest","A3RD0PJNO6PR","2 ct","2.00","199","1","2024-01-13 00:00:00",\N,"2026-04-13 22:02:07"
"15","27","PureRelief Immune Support Powder","PureRelief","6HDXHC81H2TX","10 ct","5.88","207","1","2024-04-07 00:00:00",\N,"2026-04-13 22:02:07"
"16","35","NaturaPress Tots Diluted Fruit Juice","NaturaPress Tots","MOBQ8VL533T7","32 oz","11.20","62","1","2022-12-16 00:00:00",\N,"2026-04-13 22:02:07"
"17","24","SunVale Home Reed Diffuser","SunVale Home","DJXK0JDMQE7N","6 oz","7.99","40","1","2023-01-28 00:00:00",\N,"2026-04-13 22:02:07"
"18","26","ClearBreathe Saline Nasal Spray","ClearBreathe","V6FHYE14O615","3 oz","5.90","287","1","2020-03-21 00:00:00",\N,"2026-04-13 22:02:07"
"19","29","Lunafresh Burn Gel","Lunafresh","1LZWF170BR00","1 oz","10.50","79","1","2020-04-27 00:00:00",\N,"2026-04-13 22:02:07"
"20","32","NaturaPress Aviary Bird Treats","NaturaPress Aviary","I2FYWUX1M7KG","8 oz","22.40","280","1","2022-01-08 00:00:00",\N,"2026-04-13 22:02:07"
"21","25","GoldenVale Health Probiotic","GoldenVale Health","WBF55UOX4WUO","30 ct","3.69","42","1","2022-11-16 00:00:00",\N,"2026-04-13 22:02:07"
"22","33","EverWell Aquatics Aquarium Gravel","EverWell Aquatics","TMZUJ97KBMWJ","5 lb","30.31","194","1","2022-01-13 00:00:00",\N,"2026-04-13 22:02:07"
"23","13","Velora Naturals Hair Mask","Velora Naturals","5F8DX32TUSHL","10 oz","5.65","178","1","2022-08-20 00:00:00",\N,"2026-04-13 22:02:07"
"24","21","NaturaPress Scented Trash Bags","NaturaPress","00DSFNHAPDJC","20 ct","18.77","185","1","2020-10-16 00:00:00",\N,"2026-04-13 22:02:07"
