product_key,product_id,product_sku,product_name,product_type,brand_name,subcategory_id,category,subcategory,unit_size,price,stock_quantity,is_active,date_created,date_inactive
1,4071,SQ31REAUJF79,"GoldenVale Cheese Puffs","Cheese Puffs",GoldenVale,3,"Food and Beverages",Snacks,"10 oz",2.81,141,1,2018-12-02,NULL
2,1827,W3X1RXNJXOM2,"Velvessa Body Wash","Body Wash",Velvessa,14,"Personal Care and Beauty","Bath and Body","18 oz",13.45,166,1,2018-12-02,NULL
3,7979,WEKMTINCNDXI,"EverSip Club Soda","Club Soda",EverSip,8,"Food and Beverages",Soda,"16 oz",6.06,261,1,2018-12-02,NULL
4,2586,3XO4CM2WN67O,"Satori Bloom Green Tea","Green Tea","Satori Bloom",11,"Food and Beverages",Tea,"20 ct",2.66,279,1,2018-12-03,NULL
5,5009,2X92FCNKBC3R,"BrightBerry Minced Garlic","Minced Garlic",BrightBerry,7,"Food and Beverages",Pantry,"8 oz",5.63,270,1,2018-12-04,NULL
6,6787,38GNGW05ES5M,"SunVale Farms Spinach",Spinach,"SunVale Farms",4,"Food and Beverages",Produce,"8 oz",7.81,59,1,2018-12-04,NULL
7,7859,8J8Y66I92HHY,"Auralis Roasters Espresso Roast","Espresso Roast","Auralis Roasters",10,"Food and Beverages",Coffee,"16 oz",2.30,26,1,2018-12-04,NULL
8,1465,I9OEBRXGU6VP,"Lunafresh Lemonade",Lemonade,Lunafresh,9,"Food and Beverages",Juice,"64 oz",5.36,296,1,2018-12-04,NULL
9,4109,IL0BVCYM1P5J,"Auralift Wellness Nighttime Allergy and Sinus","Nighttime Allergy and Sinus","Auralift Wellness",26,"Health and Wellness Products","Allergy and Sinus","24 ct",14.12,139,1,2018-12-04,NULL
10,7789,TUBTHD28W9GP,"PureLuxe Home Deodorizing Beads","Deodorizing Beads","PureLuxe Home",24,"Household Goods and Cleaning Products","Air Fresheners","20 oz",16.38,59,1,2018-12-04,NULL
11,9453,XDB9NEK83T9P,"Lunafresh Deli Ham","Deli Ham",Lunafresh,5,"Food and Beverages",Meat,"8 oz",4.86,84,1,2018-12-04,NULL
12,2926,XQAXEJ1NB9PB,"Auralift Plastic Wrap","Plastic Wrap",Auralift,22,"Household Goods and Cleaning Products","Food Storages and Wraps","100 ft",10.56,218,1,2018-12-04,NULL
