order_id,order_item_id,product_key,customer_key,order_date_key,ship_date_key,delivered_date_key,canceled_date_key,order_datetime,order_delivery_fee,ship_datetime,delivered_datetime,canceled_datetime,quantity,unit_price,line_total,item_status
1,1,2722,238,20260115,20260116,20260118,NULL,"2026-01-15 18:11:19",0.00,"2026-01-16 17:28:00","2026-01-18 09:20:30",NULL,5,11.13,55.65,DELIVERED
1,3,1242,238,20260115,NULL,NULL,20260115,"2026-01-15 18:11:19",0.00,NULL,NULL,"2026-01-15 00:00:00",2,4.39,8.78,CANCELED
1,5,4734,238,20260115,20260117,20260118,NULL,"2026-01-15 18:11:19",0.00,"2026-01-17 16:39:00","2026-01-18 09:20:30",NULL,3,33.46,100.38,DELIVERED
2,7,3312,119,20250128,20250131,20250201,NULL,"2025-01-28 12:05:44",0.00,"2025-01-31 17:36:00","2025-02-01 11:25:46",NULL,5,1.79,8.95,DELIVERED
3,13,3341,156,20260218,20260220,20260221,NULL,"2026-02-18 18:50:45",0.00,"2026-02-20 15:41:00","2026-02-21 09:19:00",NULL,2,12.82,25.64,DELIVERED
3,14,343,156,20260218,20260221,20260224,NULL,"2026-02-18 18:50:45",0.00,"2026-02-21 11:58:00","2026-02-24 16:34:00",NULL,2,27.76,55.52,DELIVERED
4,18,351,256,20240302,20240304,20240309,NULL,"2024-03-02 10:25:58",10.00,"2024-03-04 12:09:00","2024-03-09 13:35:00",NULL,4,2.04,8.16,DELIVERED
4,19,2646,256,20240302,20240305,20240306,NULL,"2024-03-02 10:25:58",10.00,"2024-03-05 15:58:00","2024-03-06 17:43:44",NULL,4,7.04,28.16,DELIVERED
5,20,5069,89,20241029,20241030,20241103,NULL,"2024-10-29 10:18:31",0.00,"2024-10-30 16:51:00","2024-11-03 16:55:00",NULL,2,9.00,18.00,DELIVERED
5,21,4071,89,20241029,20241031,20241105,NULL,"2024-10-29 10:18:31",0.00,"2024-10-31 13:52:00","2024-11-05 16:17:00",NULL,5,3.85,19.25,DELIVERED
